idplaces	place_type	name	full_name	country_code	country	id	longitude	latitude
62d04fed40d8704d	neighborhood	Lagos del Bosque	Lagos del Bosque, Monterrey	MX	México	13972	-100.2614146	25.6012399
08d105c574e74e4b	neighborhood	Drexel Park	Drexel Park, Tucson	US	United States	13973	-110.9581147	32.1561163
07d9d80981082001	poi	Tintillo Hills	Tintillo Hills	US	United States	13974	-66.1263244	18.4040678
64bcc04af0e7da01	neighborhood	Barrio de la Concepción	Barrio de la Concepción, Coyoacán	MX	México	13975	-99.15887339999999	19.3461943
01788e5747865646	city	La Ciénaga - San Rafael	La Ciénaga - San Rafael, Argentina	AR	Argentina	13976	-68.3390622	-34.6128922
1f1a00d0c11a2a7b	neighborhood	Pedregal Cumbres	Pedregal Cumbres, Monterrey	MX	México	13977	-100.3929564	25.7326806
0173f8c5186ce231	city	Concepcion De Oriente	Concepcion De Oriente, El Salvador	SV	El Salvador	13978	-87.71356709999999	13.7922203
1d0af3d1ba7e7ebb	neighborhood	José María Pino Suárez	José María Pino Suárez, Centro	MX	México	13979	-99.1326579	19.428567
07d9e6a725c88001	poi	World Trade Bridge	World Trade Bridge	US	United States	13980	-99.5416783	27.5955118
1371ba1efeec0d8d	neighborhood	Gaviotas Sur Primera Sección	Gaviotas Sur Primera Sección, Centro	MX	México	13981	-92.89887329999999	17.9686815
84b1a0f74d6ae538	city	El Limón	El Limón, Jalisco	MX	México	13982	-104.016667	19.75
3de2cffbbaa7b065	neighborhood	Nueva España	Nueva España, Tlaquepaque	MX	México	13983	-103.3935695	20.6118908
032211bec065417c	neighborhood	La Impulsora	La Impulsora, Nezahualcóyotl	MX	México	13984	-99.039834	19.4801065
3d7adb1a970c31e0	neighborhood	San Juan Ixhuatepec	San Juan Ixhuatepec, Tlalnepantla de Baz	MX	México	13985	-99.10549859999999	19.5188068
d0e03bda0224a159	city	Soteapan	Soteapan, Veracruz de Ignacio de la Llave	MX	México	13986	-94.87189289999999	18.2296099
01c867fc4f1bc679	city	Jicalapa	Jicalapa, El Salvador	SV	El Salvador	13987	-89.5078768	13.569964
4d6efcbf47122f8e	neighborhood	Centro	Centro, Tlaquepaque	MX	México	13988	-103.3053128	20.6354051
07d9d195f4c81000	poi	Domes	Domes	US	United States	13989	-87.94594819999999	43.0264365
47518d1b82bc2f28	city	San Pedro Amuzgos	San Pedro Amuzgos, Oaxaca	MX	México	13990	-98.0903634	16.6521899
00697ee5575146e6	city	Cascales	Cascales, Ecuador	EC	Ecuador	13991	-77.2405153	0.1823475
07d9de4850c82004	poi	Watermill Express	Watermill Express	US	United States	13992	-95.35564420000001	29.7830885
338b67502cabc49e	neighborhood	Tercera Sección de Bugambilias	Tercera Sección de Bugambilias, Puebla	MX	México	13993	-98.2083116	19.0078157
743b58b8f2902385	neighborhood	Ampliación Insurgentes Cuicuilco	Ampliación Insurgentes Cuicuilco, Coyoacán	MX	México	13994	-99.1882382	19.3041594
4fb7215df459cdd7	neighborhood	El Chamizal	El Chamizal, Ecatepec de Morelos	MX	México	13995	-99.0584911	19.5005408
94d182bf2600ccb2	city	Pajapan	Pajapan, Veracruz de Ignacio de la Llave	MX	México	13996	-94.6921311	18.2623721
4e59d32db6d777c2	neighborhood	Venustiano Carranza	Venustiano Carranza, Monclova	MX	México	13997	-101.3842531	26.9230733
009b212255d8bd32	city	Coloso	Coloso, Colombia	CO	Colombia	13998	-75.35217999999999	9.49551
2d157f68cd9b389c	neighborhood	San Isidro	San Isidro, San Nicolás de los Garza	MX	México	13999	-100.2842013	25.7601856
69c8fb1abd9d5504	neighborhood	Bosque de Xhala	Bosque de Xhala, Cuautitlán	MX	México	14000	-99.1802147	19.6800663
13db02e4b3ea318d	city	San Manuel	San Manuel, AZ	US	United States	14001	-110.6309289	32.5997933
003224f320e9a6d2	city	Las Naves	Las Naves, Ecuador	EC	Ecuador	14002	-79.314894	-1.2863062
4becfadb15b0e961	neighborhood	Panteón San Isidro	Panteón San Isidro, Azcapotzalco	MX	México	14003	-99.2085974	19.4863185
